City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
418,bonthe,7.5264,-12.505,73.94,94,3,3.96,SL,1644477516
419,shache,38.4167,77.2406,42.73,27,99,4.85,CN,1644477545
420,kahului,20.8947,-156.47,73.85,75,40,5.01,US,1644477547
421,bilibino,68.0546,166.4372,-38.7,100,74,0.85,RU,1644477549
422,high level,58.5169,-117.136,8.71,92,100,3.44,CA,1644477552
423,jaciara,-15.9653,-54.9683,70.03,98,100,2.44,BR,1644477554
424,berlevag,70.8578,29.0864,26.4,74,0,16.11,NO,1644477556
425,sumbe,-11.2061,13.8437,76.95,66,100,16.6,AO,1644477559
426,chokurdakh,70.6333,147.9167,-22.32,94,96,10.85,RU,1644477561
427,gobabis,-22.45,18.9667,76.69,46,47,10.58,NA,1644477563
428,gasa,31.5,34.4667,49.98,77,100,23.2,PS,1644477566
429,doha,25.2867,51.5333,67.98,57,0,4.61,QA,1644477431
430,santa quiteria,-4.3319,-40.1567,70.41,93,100,1.57,BR,1644477572
431,livingstone,-17.8419,25.8543,76.12,67,5,3.96,ZM,1644477482
432,healdsburg,38.6105,-122.8692,62.44,61,0,1.01,US,1644477577
433,khimki,55.9017,37.4375,31.8,86,100,8.99,RU,1644477579
434,bonnyville,54.2668,-110.735,45.23,96,100,20.94,CA,1644477329
435,marsaxlokk,35.8419,14.5431,55.08,93,0,5.75,MT,1644477583
436,alice springs,-23.7,133.8833,96.22,43,5,10.36,AU,1644477586
437,dudinka,69.4058,86.1778,-5.39,97,100,15.99,RU,1644477588
438,creel,27.75,-107.6333,34.09,50,0,2.35,MX,1644477590
439,isangel,-19.55,169.2667,78.66,93,100,25.17,VU,1644477593
440,fort dodge,42.4975,-94.168,28.49,80,100,6.91,US,1644477597
441,ketchikan,55.3422,-131.6461,45.07,70,75,11.5,US,1644477599
442,petropavlovskoye,52.0712,84.107,4.53,92,78,3.0,RU,1644477602
443,cap malheureux,-19.9842,57.6142,83.46,65,0,4.0,MU,1644477604
444,afzalpur,17.2,76.35,83.21,39,53,7.09,IN,1644477606
445,kembolcha,11.0816,39.7434,68.09,39,13,6.06,ET,1644477609
446,kurumkan,54.3,110.3,5.86,84,99,2.64,RU,1644477611
447,takaka,-40.85,172.8,70.97,99,100,5.1,NZ,1644477613
448,tarata,-17.6167,-66.0167,56.62,84,100,4.21,BO,1644477618
449,bilma,18.6853,12.9164,55.45,45,0,10.16,NE,1644477620
450,magadan,59.5667,150.8,-5.48,78,94,4.81,RU,1644477622
451,tabou,4.423,-7.3528,77.05,89,62,4.12,CI,1644477625
452,flin flon,54.7682,-101.865,7.16,96,100,7.92,CA,1644477335
453,touros,-5.1989,-35.4608,76.1,65,100,6.76,BR,1644477631
454,benguela,-12.5763,13.4055,75.0,63,100,5.68,AO,1644477634
455,yarmouth,41.7057,-70.2286,39.96,88,0,3.44,US,1644477636
456,zhuhai,22.2769,113.5678,70.92,77,40,10.36,CN,1644477638
457,altamont,42.2068,-121.7372,44.78,75,0,1.01,US,1644477640
458,nanortalik,60.1432,-45.2371,18.9,61,67,6.78,GL,1644477643
459,madang,-5.2246,145.7966,81.81,86,98,5.77,PG,1644477645
460,taicheng,38.731,113.228,32.32,34,100,5.03,CN,1644477647
461,mbeya,-8.9,33.45,65.1,87,100,2.55,TZ,1644477650
462,champerico,14.3,-91.9167,75.04,74,2,4.61,GT,1644477652
463,hobyo,5.3505,48.5268,80.6,58,94,23.42,SO,1644477654
464,upington,-28.4478,21.2561,80.98,26,0,2.3,ZA,1644477657
465,grindavik,63.8424,-22.4338,25.27,80,75,13.8,IS,1644477659
466,pingliang,35.5392,106.6861,30.74,84,100,4.5,CN,1644477661
467,muhororo,0.9381,30.7594,84.67,30,41,1.16,UG,1644477664
468,la rioja,42.25,-2.5,33.12,57,0,5.77,ES,1644477666
469,chino valley,34.7575,-112.4538,52.11,40,0,3.44,US,1644477668
470,chapais,49.7834,-74.8492,28.18,94,100,10.45,CA,1644477670
471,nuevo progreso,23.1667,-97.95,57.6,73,92,3.11,MX,1644477673
472,ugoofaaru,5.6667,73.0,81.48,70,45,8.19,MV,1644477675
473,aguimes,27.9054,-15.4461,70.66,46,20,5.75,ES,1644477677
474,nara,34.6851,135.8049,48.9,62,99,5.28,JP,1644477680
475,ancud,-41.8697,-73.8203,50.23,78,0,6.11,CL,1644477393
476,kazuno,40.1836,140.7872,33.04,87,100,3.67,JP,1644477684
477,mbanza-ngungu,-5.25,14.8667,69.98,85,54,4.12,CD,1644477686
478,timmins,48.4669,-81.3331,26.42,93,100,3.44,CA,1644477689
479,alofi,-19.0595,-169.9187,78.69,89,91,3.44,NU,1644477666
480,naze,28.3667,129.4833,58.12,72,86,17.05,JP,1644477693
481,ciudad bolivar,8.1222,-63.5497,73.72,74,100,10.58,VE,1644477695
482,jishou,28.3167,109.7167,40.5,86,100,2.33,CN,1644477698
483,port-cartier,50.0334,-66.8654,28.62,95,100,2.57,CA,1644477700
484,terrace,54.5163,-128.6035,44.51,93,100,23.02,CA,1644477704
485,knysna,-34.0363,23.0471,71.98,79,28,8.34,ZA,1644477707
486,belyy yar,53.6039,91.3903,-4.11,65,0,8.95,RU,1644477709
487,kampot,10.6167,104.1833,87.85,55,100,6.15,KH,1644477711
488,rapid valley,44.0625,-103.1463,40.6,92,100,8.01,US,1644477714
489,curvelo,-18.7564,-44.4308,69.91,87,100,1.59,BR,1644477699
490,yenangyaung,20.4667,94.8833,84.96,19,7,3.38,MM,1644477718
491,chernaya kholunitsa,58.8511,51.7154,23.88,93,100,12.82,RU,1644477720
492,aguada de pasajeros,22.385,-80.8508,68.77,92,80,6.02,CU,1644477723
493,banda aceh,5.5577,95.3222,84.69,69,100,10.31,ID,1644477725
494,berezovyy,51.6667,135.7,12.07,93,100,2.46,RU,1644477727
495,tabuny,52.7773,78.7896,-7.91,94,48,4.83,RU,1644477730
496,udachnyy,66.4167,112.4,-1.55,76,68,2.51,RU,1644477626
497,damaturu,11.747,11.9608,64.99,29,87,10.92,NG,1644477734
498,saint-joseph,-21.3667,55.6167,82.76,73,8,8.14,RE,1644477736
499,cubuk,40.2386,33.0322,35.2,60,40,16.11,TR,1644477739
500,bara,10.3744,10.7288,73.18,13,12,8.03,NG,1644477741
501,ust-nera,64.5667,143.2,-28.44,99,56,3.98,RU,1644477743
502,makat,47.6469,53.3463,33.39,86,100,17.9,KZ,1644477746
503,timaru,-44.4,171.25,69.08,83,0,5.23,NZ,1644477748
504,gisborne,-38.6533,178.0042,81.95,75,99,6.93,NZ,1644477750
505,pathardi,19.1667,75.1833,80.06,27,73,10.98,IN,1644477753
506,carahue,-38.7,-73.1667,52.0,90,100,2.04,CL,1644477755
507,cockburn town,21.4612,-71.1419,77.59,73,0,19.64,TC,1644477592
508,akyab,20.15,92.9,79.77,34,5,9.48,MM,1644477761
509,dakar,14.6937,-17.4441,76.08,49,81,6.91,SN,1644477764
510,nacala,-14.5428,40.6728,79.93,85,100,4.45,MZ,1644477766
511,bereda,43.2686,-7.5406,44.42,100,37,2.21,ES,1644477768
512,pandaria,22.2333,81.4167,81.64,31,66,4.09,IN,1644477555
513,luwingu,-10.2621,29.9271,67.44,85,95,4.88,ZM,1644477773
514,bosaso,11.2842,49.1816,76.98,65,0,5.75,SO,1644477775
515,porto velho,-8.7619,-63.9039,75.25,94,0,2.3,BR,1644477777
516,iracoubo,5.4802,-53.2011,75.22,87,98,5.84,GF,1644477780
517,lavrentiya,65.5833,-171.0,-27.27,93,53,7.05,RU,1644477782
518,lalitpur,27.6667,85.3333,62.98,39,20,8.05,NP,1644477784
519,dauphin,51.1494,-100.0502,17.74,86,100,2.3,CA,1644477761
520,zhob,31.3411,69.4481,50.38,23,0,5.19,PK,1644477789
521,yertsevo,60.7966,40.086,21.7,94,100,7.92,RU,1644477791
522,edd,13.9297,41.6925,85.37,38,6,12.21,ER,1644477793
523,norman wells,65.282,-126.8329,-11.16,70,100,0.0,CA,1644477796
524,bor,56.3567,44.0669,22.93,93,89,4.9,RU,1644477798
525,callaway,30.153,-85.5699,40.93,93,0,3.44,US,1644477800
526,berzence,46.2091,17.1481,33.39,70,8,2.71,HU,1644477803
527,raga,8.4596,25.678,77.07,16,71,8.7,SS,1644477805
528,issia,6.4922,-6.5856,69.6,99,48,1.57,CI,1644477807
529,shimoda,34.6667,138.95,42.91,96,100,11.23,JP,1644477810
530,esso,55.9333,158.7,0.19,100,39,3.85,RU,1644477812
531,waihi,-37.3833,175.8333,77.43,96,61,4.32,NZ,1644477814
532,ladybrand,-29.1945,27.4574,74.41,40,0,6.42,ZA,1644477817
533,herat,34.5,62.0,52.38,26,0,10.27,AF,1644477819
534,faya,18.3851,42.4509,66.31,40,1,6.78,SA,1644477821
535,zhigansk,66.7697,123.3711,-29.54,97,97,9.28,RU,1644477824
536,kruisfontein,-34.0033,24.7314,75.88,51,0,9.42,ZA,1644477826
537,hudson bay,52.85,-102.3842,28.99,97,100,5.26,CA,1644477828
